souche_1;souche_2;souche_3;souche_4;souche_5;stade;station ;ad nichoir;sex;obs;sta.nic;urb_level;urb_level_city;average_urb_level;habitat
PARUS74;PARUS72;;;;adulte;gram;44;1;AC;gram.44;1,001017814;1,259167966;0,254;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;gram;44;2;AC;gram.44;1,001017814;1,259167966;0,254;urb
PARUS70;CYCAE02;;;;adulte;font;17;2;VD;font.17;-0,789341043;-0,46640164;-0,854;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;mas;24;2;VD;mas.24;-1,790063115;-1,416775794;-2,383;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;mas;24;1;VD;mas.24;-1,790063115;-1,416775794;-2,383;urb
SYBOR22;PYCGPI03;PARUS82;PARUS77;PARUS74;adulte;mos;43;2;AC;mos.43;-0,825048848;-0,487594621;-0,865;urb
PARUS82;PARUS77;PARUS73;PARUS4;PARUS18;adulte;mas;37;1;AC;mas.37;-1,716343906;-1,04317161;-2,383;urb
PARUS74;;;;;adulte;mas;37;2;AC;mas.37;-1,716343906;-1,04317161;-2,383;urb
PARUS70;CYCAE02;;;;adulte;zoo;63;1;AC;zoo.63;-0,937353317;1,2951535;0,687;urb
SYBOR22;PARUS74;PARUS72;PARUS4;PARUS18;adulte;zoo;63;2;AC;zoo.63;-0,937353317;1,2951535;0,687;urb
SYBOR22;PYCGPI03;PARUS77;PARUS74;PARUS72;adulte;mos;23;2;VD;mos.23;-0,559920157;-0,212649993;-0,865;urb
PYCGPI03;PARUS82;PARUS77;PARUS73;PARUS4;adulte;mos;23;1;VD;mos.23;-0,559920157;-0,212649993;-0,865;urb
SYBOR22;PYCGPI03;PARUS82;PARUS77;PARUS74;adulte;gram;56;2;AC;gram.56;0,141519692;0,403237867;0,254;urb
PARUS73;;;;;adulte;gram;56;1;AC;gram.56;0,141519692;0,403237867;0,254;urb
PARUS74;PARUS72;;;;adulte;zoo;9;2;AC;zoo.9;1,17637317;1,433795372;0,687;urb
SYBOR27;SYBOR08;SFC7;PLONIG15;PFC2;adulte;zoo;9;1;AC;zoo.9;1,17637317;1,433795372;0,687;urb
PARUS19;;;;;adulte;zoo;64;2;AC;zoo.64;0,766093358;1,40815822;0,687;urb
PARUS81;PARUS70;CYACAE02;;;adulte;zoo;64;1;AC;zoo.64;0,766093358;1,40815822;0,687;urb
PARUS74;PARUS72;;;;adulte;zoo;31;2;AC;zoo.31;0,475305519;0,736239484;0,687;urb
PARUS27;SYBOR08;SFC7;PFC2;PARUS74;adulte;zoo;31;1;AC;zoo.31;0,475305519;0,736239484;0,687;urb
PARUS77;PARUS4;PARUS18;;;adulte;mas;43;2;AC;mas.43;-1,693448052;-1,07575741;-2,383;urb
negatif;;;;;adulte;mas;43;1;AC;mas.43;-1,693448052;-1,07575741;-2,383;urb
PARUS74;PARUS72;;;;adulte;mas;42;2;AC;mas.42;0,240918659;0,563545476;-2,383;urb
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;zoo;7;1;AC;zoo.7;1,176263395;1,433686052;0,687;urb
SYBOR22;PYCGPI03;PARUS82;PARUS77;PARUS74;adulte;zoo;23;1;AC;zoo.23;0,963484064;1,41295905;0,687;urb
SYBOR27;SYBOR08;SFC7;PFC2;PARUS74;adulte;zoo;23;2;AC;zoo.23;0,963484064;1,41295905;0,687;urb
