location;site;PLAQUE;LIGNE;COLONNE;species;year;HaemoPlasmo;Leuco;"Double
infection";souche;stade;pouss station;pouss nichoir;pouss age plume;pouss obs;sta.nic;PC1;PC1_mean_zone;habitat
City;Montpellier-zoo;11;d;8;Parus Major;2014;0;0;0;n使atif;poussin;zoo;9;15.5;VD;zoo.9;1.17637317036395;0.687;urb
City;Montpellier-zoo;11;e;8;Parus Major;2014;0;0;0;n使atif;poussin;zoo;64;9;VD;zoo.64;0.766093357658434;0.687;urb
City;zoo;11;f;8;Parus Major;2014;0;0;0;n使atif;poussin;zoo;31;8;VD;zoo.31;0.475305519323125;0.687;urb
City;mos;11;g;8;Parus Major;2014;0;0;0;n使atif;poussin;mos;43;8;VD;mos.43;-0.825048847658069;-0.865;urb
City;Montpellier;11;h;8;Parus Major;2014;0;0;0;n使atif;poussin;mas;37;9.5;VD;mas.37;-1.71634390569807;-2.383;urb
City;Montpellier;11;a;9;Parus Major;2014;0;0;0;n使atif;poussin;mas;24;8;AG;mas.24;-1.7900631146422;-2.383;urb
City;Montpellier;11;b;9;Parus Major;2014;0;0;0;n使atif;poussin;mos;23;8;AG;mos.23;-0.55992015728601;-0.865;urb
City;Montpellier;11;c;9;Parus Major;2014;0;0;0;n使atif;poussin;font;16;11.5;VD;font.16;-1.65096034222359;-0.854;urb
City;Montpellier;11;d;9;Parus Major;2014;1;0;0;inexploitable;poussin;font;18;8;VD;font.18;-0.776532806514006;-0.854;urb
City;Montpellier;11;e;9;Parus Major;2014;0;0;0;n使atif;poussin;mas;43;9;VD;mas.43;-1.69344805189063;-2.383;urb
City;Montpellier-zoo;11;f;9;Parus Major;2014;0;0;0;n使atif;poussin;zoo;23;7;VD;zoo.23;0.963484063605317;0.687;urb
City;Montpellier-zoo;11;g;9;Parus Major;2014;0;0;0;n使atif;poussin;zoo;7;7.5;VD;zoo.7;1.17626339488094;0.687;urb
City;Montpellier-zoo;11;h;9;Parus Major;2014;0;0;0;n使atif;poussin;zoo;30;12;VD;zoo.30;0.627555326784073;0.687;urb
City;Montpellier;11;a;10;Parus Major;2014;0;0;0;n使atif;poussin;mas;19;11;VD;mas.19;-2.55606511454882;-2.383;urb
City;Montpellier;11;b;10;Parus Major;2014;0;0;0;n使atif;poussin;mas;6;11;VD;mas.6;-1.95190555196334;-2.383;urb
City;Montpellier-zoo;11;c;10;Parus Major;2014;0;0;0;n使atif;poussin;zoo;3;15.5;VD;zoo.3;0.874696042821713;0.687;urb
City;Montpellier;11;d;10;Parus Major;2014;0;0;0;n使atif;poussin;mos;17;9;VD;mos.17;-1.80570322743363;-0.865;urb
City;Montpellier;11;e;10;Parus Major;2014;0;0;0;n使atif;poussin;gram;61;11;VD;gram.61;0.0746664229127786;0.254;urb
City;Montpellier-zoo;11;f;10;Parus Major;2014;0;0;0;n使atif;poussin;zoo;11;16;VD;zoo.11;1.15436318602118;0.687;urb
City;Montpellier-zoo;11;g;10;Parus Major;2014;0;0;0;n使atif;poussin;zoo;51;12;VD;zoo.51;0.425595613130079;0.687;urb
