Row,LocationID,NestboxID,LocationType,PopID,Latitude,Longitude,StartSeason,EndSeason,HabitatType,Warning,Error,PopNestboxID
3970,bot_1_NB,bot_1_NB,NB,bot,43.61487,3.872481,2009,NA,urban,NA,NA,MON bot_1_NB
3971,bot_2_NB,bot_2_NB,NB,bot,43.614446,3.872419,2008,NA,urban,NA,NA,MON bot_2_NB
3972,bot_3_NB,bot_3_NB,NB,bot,43.613487,3.872164,2008,NA,urban,NA,NA,MON bot_3_NB
3973,bot_4_NB,bot_4_NB,NB,bot,43.613219,3.871609,2009,NA,urban,NA,NA,MON bot_4_NB
3974,bot_5_NB,bot_5_NB,NB,bot,43.613766,3.871227,2008,NA,urban,NA,NA,MON bot_5_NB
3975,bot_6_NB,bot_6_NB,NB,bot,43.614152,3.87089,2009,NA,urban,NA,NA,MON bot_6_NB
3976,bot_7_NB,bot_7_NB,NB,bot,43.614683,3.871051,2008,NA,urban,NA,NA,MON bot_7_NB
3977,bot_8_NB,bot_8_NB,NB,bot,43.615293,3.871359,2008,NA,urban,NA,NA,MON bot_8_NB
3994,cef_1_NB,cef_1_NB,NB,cef,43.639092,3.863722,2007,NA,urban,NA,NA,MON cef_1_NB
3996,cef_10_NB,cef_10_NB,NB,cef,43.63884,3.863334,2008,NA,urban,NA,NA,MON cef_10_NB
3997,cef_2_NB,cef_2_NB,NB,cef,43.639144,3.861867,2007,NA,urban,NA,NA,MON cef_2_NB
3998,cef_3_NB,cef_3_NB,NB,cef,43.638572,3.861068,2007,NA,urban,NA,NA,MON cef_3_NB
3999,cef_4_NB,cef_4_NB,NB,cef,43.637686,3.86121,2007,NA,urban,NA,NA,MON cef_4_NB
4000,cef_5_NB,cef_5_NB,NB,cef,43.63715,3.861322,2007,NA,urban,NA,NA,MON cef_5_NB
4001,cef_6_NB,cef_6_NB,NB,cef,43.636805,3.861792,2008,NA,urban,NA,NA,MON cef_6_NB
4003,cef_7_NB,cef_7_NB,NB,cef,43.636927,3.862693,2007,NA,urban,NA,NA,MON cef_7_NB
4005,cef_8_NB,cef_8_NB,NB,cef,43.637862,3.863538,2007,NA,urban,NA,NA,MON cef_8_NB
4006,cef_9_NB,cef_9_NB,NB,cef,43.637734,3.863957,2008,NA,urban,NA,NA,MON cef_9_NB
4027,fac_1_NB,fac_1_NB,NB,fac,43.629549,3.869685,2014,NA,urban,NA,NA,MON fac_1_NB
4028,fac_10_NB,fac_10_NB,NB,fac,43.633606,3.867481,2008,NA,urban,NA,NA,MON fac_10_NB
4029,fac_11_NB,fac_11_NB,NB,fac,43.634521,3.867428,2008,NA,urban,NA,NA,MON fac_11_NB
4030,fac_12_NB,fac_12_NB,NB,fac,43.634064,3.866462,2009,NA,urban,NA,NA,MON fac_12_NB
4031,fac_13_NB,fac_13_NB,NB,fac,43.633716,3.865383,2008,NA,urban,NA,NA,MON fac_13_NB
4032,fac_14_NB,fac_14_NB,NB,fac,43.633404,3.865438,2010,NA,urban,NA,NA,MON fac_14_NB
4033,fac_15_NB,fac_15_NB,NB,fac,43.632932,3.865517,2010,NA,urban,NA,NA,MON fac_15_NB
4034,fac_16_NB,fac_16_NB,NB,fac,43.63174,3.865957,2008,NA,urban,NA,NA,MON fac_16_NB
4035,fac_17_NB,fac_17_NB,NB,fac,43.631178,3.865706,2010,NA,urban,NA,NA,MON fac_17_NB
4036,fac_18_NB,fac_18_NB,NB,fac,43.631385,3.86622,2008,NA,urban,NA,NA,MON fac_18_NB
4037,fac_19_NB,fac_19_NB,NB,fac,43.634163,3.862035,2011,NA,urban,NA,NA,MON fac_19_NB
4038,fac_2_NB,fac_2_NB,NB,fac,43.629987,3.868779,2008,NA,urban,NA,NA,MON fac_2_NB
4039,fac_20_NB,fac_20_NB,NB,fac,43.633808,3.861682,2008,NA,urban,NA,NA,MON fac_20_NB
4040,fac_21_NB,fac_21_NB,NB,fac,43.634174,3.86099,2009,NA,urban,NA,NA,MON fac_21_NB
4041,fac_22_NB,fac_22_NB,NB,fac,43.633682,3.860572,2010,NA,urban,NA,NA,MON fac_22_NB
4042,fac_3_NB,fac_3_NB,NB,fac,43.630541,3.867879,2008,NA,urban,NA,NA,MON fac_3_NB
4043,fac_5_NB,fac_5_NB,NB,fac,43.631415,3.867731,2008,NA,urban,NA,NA,MON fac_5_NB
4044,fac_6_NB,fac_6_NB,NB,fac,43.631921,3.867902,2008,NA,urban,NA,NA,MON fac_6_NB
4045,fac_7_NB,fac_7_NB,NB,fac,43.632109,3.867238,2009,NA,urban,NA,NA,MON fac_7_NB
4046,fac_8_NB,fac_8_NB,NB,fac,43.632865,3.866975,2008,NA,urban,NA,NA,MON fac_8_NB
4047,fac_9_NB,fac_9_NB,NB,fac,43.633604,3.866642,2008,NA,urban,NA,NA,MON fac_9_NB
4133,font_1_NB,font_1_NB,NB,font,43.596833,3.831929,2011,NA,urban,NA,NA,MON font_1_NB
4134,font_12_NB,font_12_NB,NB,font,43.598638,3.832687,2012,NA,urban,NA,NA,MON font_12_NB
4135,font_13_NB,font_13_NB,NB,font,43.596404,3.83313,2011,NA,urban,NA,NA,MON font_13_NB
4136,font_15_NB,font_15_NB,NB,font,43.595352,3.835407,2011,NA,urban,NA,NA,MON font_15_NB
4137,font_16_NB,font_16_NB,NB,font,43.596184,3.835545,2011,NA,urban,NA,NA,MON font_16_NB
4138,font_17_NB,font_17_NB,NB,font,43.596823,3.834651,2011,NA,urban,NA,NA,MON font_17_NB
4139,font_18_NB,font_18_NB,NB,font,43.597127,3.833705,2011,NA,urban,NA,NA,MON font_18_NB
4140,font_2_NB,font_2_NB,NB,font,43.596738,3.830925,2011,NA,urban,NA,NA,MON font_2_NB
4141,font_21_NB,font_21_NB,NB,font,43.597184,3.838898,2011,NA,urban,NA,NA,MON font_21_NB
4142,font_23_NB,font_23_NB,NB,font,43.598046,3.838568,2011,NA,urban,NA,NA,MON font_23_NB
4143,font_25_NB,font_25_NB,NB,font,43.598202,3.835501,2011,NA,urban,NA,NA,MON font_25_NB
4144,font_29_NB,font_29_NB,NB,font,43.594203,3.840378,2012,NA,urban,NA,NA,MON font_29_NB
4145,font_3_NB,font_3_NB,NB,font,43.597325,3.829944,2017,NA,urban,NA,NA,MON font_3_NB
4146,font_31_NB,font_31_NB,NB,font,43.596959,3.838156,2013,NA,urban,NA,NA,MON font_31_NB
4147,font_32_NB,font_32_NB,NB,font,43.593847,3.839524,2014,NA,urban,NA,NA,MON font_32_NB
4148,font_4_NB,font_4_NB,NB,font,43.597721,3.829076,2012,NA,urban,NA,NA,MON font_4_NB
4149,font_5_NB,font_5_NB,NB,font,43.598555,3.82977,2012,NA,urban,NA,NA,MON font_5_NB
4150,font_7_NB,font_7_NB,NB,font,43.59758,3.831574,2011,NA,urban,NA,NA,MON font_7_NB
4151,font_8_NB,font_8_NB,NB,font,43.598177,3.832004,2017,NA,urban,NA,NA,MON font_8_NB
4152,font_9_NB,font_9_NB,NB,font,43.598459,3.830894,2012,NA,urban,NA,NA,MON font_9_NB
4213,gram_10_NB,gram_10_NB,NB,gram,43.61857,3.929584,2011,NA,urban,NA,NA,MON gram_10_NB
4214,gram_11_NB,gram_11_NB,NB,gram,43.618241,3.929744,2011,NA,urban,NA,NA,MON gram_11_NB
4215,gram_14_NB,gram_14_NB,NB,gram,43.618116,3.9265,2011,NA,urban,NA,NA,MON gram_14_NB
4216,gram_16_NB,gram_16_NB,NB,gram,43.617256,3.925085,2015,NA,urban,NA,NA,MON gram_16_NB
4217,gram_17_NB,gram_17_NB,NB,gram,43.617354,3.926601,2011,NA,urban,NA,NA,MON gram_17_NB
4218,gram_19_NB,gram_19_NB,NB,gram,43.617479,3.928251,2011,NA,urban,NA,NA,MON gram_19_NB
4219,gram_2_NB,gram_2_NB,NB,gram,43.619687,3.928434,2011,NA,urban,NA,NA,MON gram_2_NB
4220,gram_20_NB,gram_20_NB,NB,gram,43.61685,3.927549,2011,NA,urban,NA,NA,MON gram_20_NB
4221,gram_25_NB,gram_25_NB,NB,gram,43.615938,3.926045,2018,NA,urban,NA,NA,MON gram_25_NB
4222,gram_30_NB,gram_30_NB,NB,gram,43.614664,3.929237,2011,NA,urban,NA,NA,MON gram_30_NB
4223,gram_31_NB,gram_31_NB,NB,gram,43.614847,3.930094,2012,NA,urban,NA,NA,MON gram_31_NB
